code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
601108,财通证券,证券,浙江,34.07,3.59,35.89,4966410.5,0.0,7868.71,466297.5,1.3,0.337,5.03,3.04,20171024,528287.19,1.47,0.0,0.0,0.0,38.73,293571.0,13.66,22.95,68.00878477306001,4,26.12,91.21522693997072,15.32
603829,洛凯股份,电气设备,江苏,52.87,0.4,1.6,61186.76,38010.1,12431.8,12584.96,0.79,0.33,2.85,6.2,20171017,8523.05,0.53,0.0,0.0,22.41,11.15,39079.0,0.0,0,0.0,0,0.0,0.0,0.0
603385,惠达卫浴,家居用品,河北,21.18,0.71,2.84,400481.13,224646.7,100791.5,99937.15,3.52,0.626,9.25,1.91,20170405,154972.77,5.45,0.0,0.0,26.95,8.6,29023.0,0.0,0,0.0,0,0.0,0.0,0.0
603331,百达精工,专用机械,浙江,34.46,0.32,1.27,95787.5,60589.91,28118.6,31593.4,2.48,0.48,5.23,3.52,20170705,20081.02,1.58,0.0,0.0,27.2,9.8,13905.0,0.0,0,0.0,0,0.0,0.0,0.0
300640,德艺文创,文教休闲,福建,48.46,0.2,0.8,34137.28,30093.7,1827.76,13812.7,1.73,0.36700000000000005,3.56,6.67,20170417,4299.71,0.54,0.0,0.0,21.72,8.3,7521.0,11.29,40.22,256.2444641275465,12,42.5,276.4393268379097,23.72
002911,佛燃股份,供气供热,广东,41.6,0.56,5.56,520045.91,160967.56,266746.31,65888.21,1.19,0.69,4.3,6.04,20171122,100769.68,1.81,13.89,3.04,20.2,8.09,39003.0,16.73,27.46,64.13628212791393,4,38.86,132.27734608487745,25.99
603955,大千生态,环境保护,江苏,42.78,0.55,0.87,178683.34,106994.5,537.01,58355.85,6.71,0.69,11.99,2.99,20170310,33149.3,3.81,26.33,37.56,28.05,11.87,12367.0,0.0,0,0.0,0,0.0,0.0,0.0
603916,苏博特,化工原料,江苏,35.15,0.76,3.04,273293.63,156607.23,65448.21,101374.03,3.33,0.57,6.16,2.51,20171110,49649.15,1.63,27.84,0.64,37.6,7.97,36613.0,0.0,0,0.0,0,0.0,0.0,0.0
603856,东宏股份,塑料,山东,25.18,0.49,1.97,137082.3,104136.96,21327.65,27259.3,1.38,0.519,6.25,2.79,20171106,46077.73,2.34,0.0,0.0,23.25,10.74,21851.0,0.0,0,0.0,0,0.0,0.0,0.0
603659,璞泰来,化工原料,上海,39.75,0.64,4.33,289609.25,238756.02,23142.92,12072.73,0.28,0.7490000000000001,3.58,11.08,20171103,82797.93,1.91,0.0,0.0,37.76,20.89,21444.0,0.0,0,0.0,0,0.0,0.0,0.0
603538,美诺华,化学制药,浙江,56.48,0.3,1.2,147854.56,83366.35,23269.36,50696.32,4.22,0.32,9.23,2.42,20170407,47035.69,3.92,0.0,0.0,33.77,8.29,9813.0,0.0,0,0.0,0,0.0,0.0,0.0
601952,苏垦农发,种植业,江苏,24.25,2.6,10.6,618453.5,471937.16,121116.27,231411.91,2.18,0.42,4.75,2.49,20170515,148163.52,1.4,0.0,0.0,20.54,13.77,80260.0,11.18,18.43,64.8479427549195,4,19.65,75.7602862254025,11.8
601619,嘉泽新能,新型电力,宁夏,92.57,1.94,19.33,892807.63,142633.19,620693.31,19287.9,0.1,0.09,1.26,6.28,20170720,28734.38,0.15,20.24,20.44,54.69,19.83,70322.0,1.51,8.31,450.3311258278146,17,13.78,812.5827814569536,7.9
300662,科锐国际,综合类,北京,49.27,0.45,1.8,88471.28,80959.93,733.37,22610.23,1.26,0.38,3.47,5.98,20170608,19258.1,1.07,0.0,0.0,22.77,6.89,9529.0,7.86,25.83,228.62595419847327,11,28.76,265.90330788804073,20.74
